3 3 0 ..OOOP.....PAAB.ZP..B.Z.C.DD..C..... Z99 C99 D98
3 3 0 ..OOOP.....PAAB..P..B.Z.C.DDZ.C..... Z98 C99 D98
3 3 0 ..OOOP.....PAAB..P..B...C.DDZ.C...Z. Z97 C99 D98
3 3 0 .OOO.P....ZPAAB.ZP..B...CDD...C..... O99 C99 D97
3 3 0 OOO..P....ZPAAB.ZP..B...CDD...C..... O98 C99 D97
3 3 0 ..OOO.....ZPAAB.ZP..B..PCDD...C..... P99 C99 D97
3 3 0 ..OOO.....Z.AAB.ZP..B..PCDD..PC..... P98 C99 D97
3 3 0 ..OOO.....Z.AAB.Z...B..PCDD..PC....P P97 C99 D97
3 3 0 ..OOOP.....PAAB.ZP..B.Z.CDD...C..... Z99 C99 D97
3 3 0 ..OOOP.....PAAB..P..B.Z.CDD.Z.C..... Z98 C99 D97
3 3 0 ..OOOP.....PAAB..P..B...CDD.Z.C...Z. Z97 C99 D97
3 3 0 .OOO......ZPAAB.ZP..B..PC...DDC..... O99 P99 C99
3 3 0 .OOOZP....ZPAAB..P..B...C...DDC..... O99 Z99 C99
3 3 0 .OOO.P.....PAAB.ZP..B.Z.C...DDC..... O99 Z99 C99
3 3 0 OOO.......ZPAAB.ZP..B..PC...DDC..... O98 P99 C99
3 3 0 OOO.ZP....ZPAAB..P..B...C...DDC..... O98 Z99 C99
3 3 0 OOO..P.....PAAB.ZP..B.Z.C...DDC..... O98 Z99 C99
3 3 0 ...OOO....ZPAAB.ZP..B..PC...DDC..... O99 P99 C99
3 3 0 ..OOO......PAAB.ZP..B.ZPC...DDC..... P99 Z99 C99
3 3 0 .OOO......ZPAAB.ZPC.B..PC..DD....... O99 P99 D99
3 3 0 .OOO......Z.AAB.ZPC.B..PC..DDP...... O99 P98 D99
3 3 0 .OOO......Z.AAB.Z.C.B..PC..DDP.....P O99 P97 D99
3 3 0 .OOOZP....ZPAAB..PC.B...C..DD....... O99 Z99 D99
3 3 0 .OOO.P.....PAAB.ZPC.B.Z.C..DD....... O99 Z99 D99
3 3 0 OOO.......ZPAAB.ZPC.B..PC..DD....... O98 P99 D99
3 3 0 OOO.......Z.AAB.ZPC.B..PC..DDP...... O98 P98 D99
3 3 0 OOO.......Z.AAB.Z.C.B..PC..DDP.....P O98 P97 D99
3 3 0 OOO.ZP....ZPAAB..PC.B...C..DD....... O98 Z99 D99
3 3 0 OOO..P.....PAAB.ZPC.B.Z.C..DD....... O98 Z99 D99
3 3 0 ...OOO....ZPAAB.ZPC.B..PC..DD....... O99 P99 D99
3 3 0 ..OOO......PAAB.ZPC.B.ZPC..DD....... P99 Z99 D99
3 3 0 ...OOO....Z.AAB.ZPC.B..PC..DDP...... O99 P98 D99
3 3 0 ..OOO.......AAB.ZPC.B.ZPC..DDP...... P98 Z99 D99
3 3 0 ...OOO....Z.AAB.Z.C.B..PC..DDP.....P O99 P97 D99
3 3 0 ..OOO.......AAB.Z.C.B.ZPC..DDP.....P P97 Z99 D99
3 3 0 .OOO......ZPAAB.ZPC.B..PC.DD........ O99 P99 D98
3 3 0 .OOO......Z.AAB.ZPC.B..PC.DD.P...... O99 P98 D98
3 3 0 .OOO......Z.AAB.Z.C.B..PC.DD.P.....P O99 P97 D98
3 3 0 .OOOZP....ZPAAB..PC.B...C.DD........ O99 Z99 D98
3 3 0 .OOO.P.....PAAB.ZPC.B.Z.C.DD........ O99 Z99 D98
3 3 0 .OOO.P.....PAAB..PC.B.Z.C.DDZ....... O99 Z98 D98
3 3 0 .OOO.P.....PAAB..PC.B...C.DDZ.....Z. O99 Z97 D98
3 3 0 OOO.......ZPAAB.ZPC.B..PC.DD........ O98 P99 D98
3 3 0 OOO.......Z.AAB.ZPC.B..PC.DD.P...... O98 P98 D98
3 3 0 OOO.......Z.AAB.Z.C.B..PC.DD.P.....P O98 P97 D98
3 3 0 OOO.ZP....ZPAAB..PC.B...C.DD........ O98 Z99 D98
3 3 0 OOO..P.....PAAB.ZPC.B.Z.C.DD........ O98 Z99 D98
3 3 0 OOO..P.....PAAB..PC.B.Z.C.DDZ....... O98 Z98 D98
