4 4 0 .........BO..AABO.CC..O..DPPPZ.D...Z O99 Z97 A99 B99
4 4 0 ....OZ...BOZ.AABO.CC.....D.PPP.D.... Z99 A99 B99 P99
4 4 0 ....O....BO..AABOZCC...Z.D.PPP.D.... Z99 A99 B99 P99
4 4 0 ....O....BO..AABO.....CC.DPPPZ.D...Z Z97 A99 B99 C96
4 4 0 ...B.....BOZ.AA.OZ.CC.O..DPPP..D.... O99 A99 B98 C99
4 4 0 ...BO....BOZ.AA.OZ.CC....D.PPP.D.... A99 B98 C99 P99
4 4 0 ...BOZ...BOZ.AA.O..CC....DPPP..D.... Z99 A99 B98 C99
4 4 0 ...BO....BO..AA.OZ.CC..Z.DPPP..D.... Z99 A99 B98 C99
4 4 0 ...BO....BO..AA.O..CC..Z.DPPPZ.D.... Z98 A99 B98 C99
4 4 0 ...BO....BO..AA.O..CC....DPPPZ.D...Z Z97 A99 B98 C99
4 4 0 ...BO....BOZ.AA.OZ.DCC...DPPP....... A99 B98 C98 D99
4 4 0 ...B.....BOZ.AA.OZ..CCO..DPPP..D.... O99 A99 B98 C98
4 4 0 ...BO....BOZ.AA.OZ..CC...D.PPP.D.... A99 B98 C98 P99
4 4 0 ...BOZ...BOZ.AA.O...CC...DPPP..D.... Z99 A99 B98 C98
4 4 0 ...BO....BO..AA.OZ..CC.Z.DPPP..D.... Z99 A99 B98 C98
4 4 0 ...BO....BO..AA.O...CC.Z.DPPPZ.D.... Z98 A99 B98 C98
4 4 0 ...BO....BO..AA.O...CC...DPPPZ.D...Z Z97 A99 B98 C98
4 4 0 ...BO....BOZ.AA.OZ.D.CC..DPPP....... A99 B98 C97 D99
4 4 0 ...BO....BOZ.AA.OZ...CC..D.PPP.D.... A99 B98 C97 P99
4 4 0 ...BOZ...BOZ.AA.O....CC..DPPP..D.... Z99 A99 B98 C97
4 4 0 ...BO....BO..AA.OZ...CCZ.DPPP..D.... Z99 A99 B98 C97
4 4 0 ...BO....BO..AA.O....CCZ.DPPPZ.D.... Z98 A99 B98 C97
4 4 0 ...BO....BO..AA.O....CC..DPPPZ.D...Z Z97 A99 B98 C97
4 4 0 ...BO....BOZ.AA.OZ.D..CC.DPPP....... A99 B98 C96 D99
4 4 0 ...BO....BOZ.AA.OZ....CC.D.PPP.D.... A99 B98 C96 P99
4 4 0 ...BOZ...BOZ.AA.O.....CC.DPPP..D.... Z99 A99 B98 C96
4 4 0 ...B.....BOZ.AA.OZCC..O..D.PPP.D.... O99 A99 B98 P99
4 4 0 ...B.Z...BOZ.AA.O.CC..O..DPPP..D.... O99 Z99 A99 B98
4 4 0 ...B.....BO..AA.OZCC..OZ.DPPP..D.... O99 Z99 A99 B98
4 4 0 ...B.....BO..AA.O.CC..OZ.DPPPZ.D.... O99 Z98 A99 B98
4 4 0 ...B.....BO..AA.O.CC..O..DPPPZ.D...Z O99 Z97 A99 B98
4 4 0 ...BOZ...BOZ.AA.O.CC.....D.PPP.D.... Z99 A99 B98 P99
4 4 0 ...BO....BO..AA.OZCC...Z.D.PPP.D.... Z99 A99 B98 P99
4 4 0 ...BO....BO..AA.O.....CC.DPPPZ.D...Z Z97 A99 B98 C96
4 4 0 ..........OZ.AABOZ.CCBO..D.PPP.D.... O99 A99 C99 P99
4 4 0 .....Z....OZ.AABO..CCBO..DPPP..D.... O99 Z99 A99 C99
4 4 0 ..........O..AABOZ.CCBOZ.DPPP..D.... O99 Z99 A99 C99
4 4 0 ..........O..AABO..CCBOZ.DPPPZ.D.... O99 Z98 A99 C99
4 4 0 ..........O..AABO..CCBO..DPPPZ.D...Z O99 Z97 A99 C99
4 4 0 ....OZ....OZ.AABO..CCB...D.PPP.D.... Z99 A99 C99 P99
4 4 0 ....O.....O..AABOZ.CCB.Z.D.PPP.D.... Z99 A99 C99 P99
4 4 0 .....Z....OZ.AABO.CC.BO..D.PPP.D.... O99 Z99 A99 P99
4 4 0 ..........O..AABOZCC.BOZ.D.PPP.D.... O99 Z99 A99 P99
4 4 0 .........BOZAA.BOZ.CC.O..D.PPP.D.... O99 B99 C99 P99
4 4 0 .....Z...BOZAA.BO..CC.O..DPPP..D.... O99 Z99 B99 C99
4 4 0 .........BO.AA.BOZ.CC.OZ.DPPP..D.... O99 Z99 B99 C99
4 4 0 .........BO.AA.BO..CC.OZ.DPPPZ.D.... O99 Z98 B99 C99
4 4 0 .........BO.AA.BO..CC.O..DPPPZ.D...Z O99 Z97 B99 C99
4 4 0 ....OZ...BOZAA.BO..CC....D.PPP.D.... Z99 B99 C99 P99
4 4 0 ....O....BO.AA.BOZ.CC..Z.D.PPP.D.... Z99 B99 C99 P99
4 4 0 .........BOZAA.BOZ.DCCO..DPPP....... O99 B99 C98 D99
4 4 0 ....O....BOZAA.BOZ.DCC...D.PPP...... B99 C98 D99 P99
4 4 0 ....OZ...BOZAA.BO..DCC...DPPP....... Z99 B99 C98 D99
4 4 0 ....O....BO.AA.BOZ.DCC.Z.DPPP....... Z99 B99 C98 D99
4 4 0 ....O....BO.AA.BO..DCC.Z.DPPPZ...... Z98 B99 C98 D99
4 4 0 ....O....BO.AA.BO..DCC...DPPPZ.....Z Z97 B99 C98 D99
4 4 0 .........BOZAA.BOZ..CCO..D.PPP.D.... O99 B99 C98 P99
4 4 0 .....Z...BOZAA.BO...CCO..DPPP..D.... O99 Z99 B99 C98
4 4 0 .........BO.AA.BOZ..CCOZ.DPPP..D.... O99 Z99 B99 C98
4 4 0 .........BO.AA.BO...CCOZ.DPPPZ.D.... O99 Z98 B99 C98
4 4 0 .........BO.AA.BO...CCO..DPPPZ.D...Z O99 Z97 B99 C98
4 4 0 ....OZ...BOZAA.BO...CC...D.PPP.D.... Z99 B99 C98 P99
4 4 0 ....O....BO.AA.BOZ..CC.Z.D.PPP.D.... Z99 B99 C98 P99
4 4 0 ....O....BOZAA.BOZ.D.CC..D.PPP...... B99 C97 D99 P99
4 4 0 ....OZ...BOZAA.BO..D.CC..DPPP....... Z99 B99 C97 D99
4 4 0 ....O....BO.AA.BOZ.D.CCZ.DPPP....... Z99 B99 C97 D99
4 4 0 ....O....BO.AA.BO..D.CCZ.DPPPZ...... Z98 B99 C97 D99
4 4 0 ....O....BO.AA.BO..D.CC..DPPPZ.....Z Z97 B99 C97 D99
4 4 0 ....OZ...BOZAA.BO....CC..D.PPP.D.... Z99 B99 C97 P99
4 4 0 ....O....BO.AA.BOZ...CCZ.D.PPP.D.... Z99 B99 C97 P99
4 4 0 ....O.....OZAA.BOZ.D.BCC.DPPP....... B98 C96 D99
4 4 0 ....O.....OZAA.BOZ...BCC.D.PPP.D.... B98 C96 P99
4 4 0 ....OZ....OZAA.BO....BCC.DPPP..D.... Z99 B98 C96
4 4 0 ....O....BOZAA.BOZ.D..CC.D.PPP...... B99 C96 D99 P99
4 4 0 ....OZ...BOZAA.BO..D..CC.DPPP....... Z99 B99 C96 D99
4 4 0 ....OZ...BOZAA.BO.....CC.D.PPP.D.... Z99 B99 C96 P99
4 4 0 .....Z...BOZAA.BO.CC..O..D.PPP.D.... O99 Z99 B99 P99
4 4 0 .........BO.AA.BOZCC..OZ.D.PPP.D.... O99 Z99 B99 P99
4 4 0 ....O.....O.AA.BO....BCC.DPPPZ.D...Z Z97 B98 C96
4 4 0 ....O....BO.AA.BO..D..CC.DPPPZ.....Z Z97 B99 C96 D99
4 4 0 ...B.....BOZ..AAOZ.CC.O..DPPP..D.... O99 A98 B98 C99
4 4 0 ...BO....BOZ..AAOZ.CC....D.PPP.D.... A98 B98 C99 P99
4 4 0 ...BOZ...BOZ..AAO..CC....DPPP..D.... Z99 A98 B98 C99
4 4 0 ...BO....BO...AAOZ.CC..Z.DPPP..D.... Z99 A98 B98 C99
4 4 0 ...BO....BO...AAO..CC..Z.DPPPZ.D.... Z98 A98 B98 C99
4 4 0 ...BO....BO...AAO..CC....DPPPZ.D...Z Z97 A98 B98 C99
4 4 0 ...BO....BOZ..AAOZ.DCC...DPPP....... A98 B98 C98 D99
4 4 0 ...BO....BOZ.DAAOZ.DCC....PPP....... A98 B98 C98 D98
4 4 0 ...BO..D.BOZ.DAAOZ..CC....PPP....... A98 B98 C98 D97
4 4 0 .D.BO..D.BOZ..AAOZ..CC....PPP....... A98 B98 C98 D96
4 4 0 ...B.....BOZ..AAOZ..CCO..DPPP..D.... O99 A98 B98 C98
4 4 0 ...BO....BOZ..AAOZ..CC...D.PPP.D.... A98 B98 C98 P99
4 4 0 ...BOZ...BOZ..AAO...CC...DPPP..D.... Z99 A98 B98 C98
4 4 0 ...BO....BO...AAOZ..CC.Z.DPPP..D.... Z99 A98 B98 C98
4 4 0 ...BO....BO...AAO...CC.Z.DPPPZ.D.... Z98 A98 B98 C98
4 4 0 ...BO....BO...AAO...CC...DPPPZ.D...Z Z97 A98 B98 C98
4 4 0 ...BO....BOZ..AAOZ.D.CC..DPPP....... A98 B98 C97 D99
4 4 0 ...BO....BOZ.DAAOZ.D.CC...PPP....... A98 B98 C97 D98
4 4 0 ...BO..D.BOZ.DAAOZ...CC...PPP....... A98 B98 C97 D97
4 4 0 .D.BO..D.BOZ..AAOZ...CC...PPP....... A98 B98 C97 D96
4 4 0 ...BO....BOZ..AAOZ...CC..D.PPP.D.... A98 B98 C97 P99
