5 5 0 ......P...O.P.AAO.PZZ.O..BB.CC...... O99 A98 P98 Z97 B99
5 5 0 P.....P...O.P.AAO...ZZO..BB.CC...... O99 A98 P97 Z98 B99
5 5 0 P.....P...O.P.AAO..ZZ.O..BB.CC...... O99 A98 P97 Z97 B99
5 5 0 P.....P...O.P.AAO.ZZ..O..BB.CC...... O99 A98 P97 Z96 B99
5 5 0 ....O.P...O.P.AAO.P..ZZ.BB.CC....... A98 P98 Z99 B98 C99
5 5 0 ....O.P...O.P.AAO.P.ZZ..BB.CC....... A98 P98 Z98 B98 C99
5 5 0 ....O.P...O.P.AAO.PZZ...BB.CC....... A98 P98 Z97 B98 C99
5 5 0 ....O.P...O.P.AAO.P..ZZ.BBCC........ A98 P98 Z99 B98 C98
5 5 0 ....O.P...O.P.AAO.P.ZZ..BBCC........ A98 P98 Z98 B98 C98
5 5 0 ....O.P...O.P.AAO.PZZ...BBCC........ A98 P98 Z97 B98 C98
5 5 0 ......P...O.P.AAO.P.ZZO.BB..CC...... O99 A98 P98 Z98 B98
5 5 0 ......P...O.P.AAO.PZZ.O.BB..CC...... O99 A98 P98 Z97 B98
5 5 0 P...O.P...O.P.AAO....ZZ.BB.CC....... A98 P97 Z99 B98 C99
5 5 0 P...O.P...O.P.AAO...ZZ..BB.CC....... A98 P97 Z98 B98 C99
5 5 0 P...O.P...O.P.AAO..ZZ...BB.CC....... A98 P97 Z97 B98 C99
5 5 0 P...O.P...O.P.AAO.ZZ....BB.CC....... A98 P97 Z96 B98 C99
5 5 0 P...O.P...O.P.AAO....ZZ.BBCC........ A98 P97 Z99 B98 C98
5 5 0 P...O.P...O.P.AAO...ZZ..BBCC........ A98 P97 Z98 B98 C98
5 5 0 P...O.P...O.P.AAO..ZZ...BBCC........ A98 P97 Z97 B98 C98
5 5 0 P...O.P...O.P.AAO.ZZ....BBCC........ A98 P97 Z96 B98 C98
5 5 0 P.....P...O.P.AAO...ZZO.BB..CC...... O99 A98 P97 Z98 B98
5 5 0 P.....P...O.P.AAO..ZZ.O.BB..CC...... O99 A98 P97 Z97 B98
5 5 0 P.....P...O.P.AAO.ZZ..O.BB..CC...... O99 A98 P97 Z96 B98
6 6 0 ..........O.PAA.O.P.ZZO.PBBCC....... O99 A99 P99 Z98 B99 C99
6 6 0 ..........O.PAA.O.PZZ.O.PBBCC....... O99 A99 P99 Z97 B99 C99
6 6 0 ......P...O.PAA.O.P.ZZO..BBCC....... O99 A99 P98 Z98 B99 C99
6 6 0 ......P...O.PAA.O.PZZ.O..BBCC....... O99 A99 P98 Z97 B99 C99
6 6 0 P.....P...O.PAA.O...ZZO..BBCC....... O99 A99 P97 Z98 B99 C99
6 6 0 P.....P...O.PAA.O..ZZ.O..BBCC....... O99 A99 P97 Z97 B99 C99
6 6 0 P.....P...O.PAA.O.ZZ..O..BBCC....... O99 A99 P97 Z96 B99 C99
6 6 0 ......P...O.PAA.O.P.ZZO.BB.CC....... O99 A99 P98 Z98 B98 C99
6 6 0 ......P...O.PAA.O.PZZ.O.BB.CC....... O99 A99 P98 Z97 B98 C99
6 6 0 ......P...O.PAA.O.P.ZZO.BBCC........ O99 A99 P98 Z98 B98 C98
6 6 0 ......P.....PAA.O.P.ZZO.BBCCO....... O98 A99 P98 Z98 B98 C98
6 6 0 ......P.....PAA...P.ZZO.BBCCO.....O. O97 A99 P98 Z98 B98 C98
6 6 0 ......P...O.PAA.O.PZZ.O.BBCC........ O99 A99 P98 Z97 B98 C98
6 6 0 ......P.....PAA.O.PZZ.O.BBCCO....... O98 A99 P98 Z97 B98 C98
6 6 0 ......P.....PAA...PZZ.O.BBCCO.....O. O97 A99 P98 Z97 B98 C98
6 6 0 P.....P...O.PAA.O...ZZO.BB.CC....... O99 A99 P97 Z98 B98 C99
6 6 0 P.....P...O.PAA.O..ZZ.O.BB.CC....... O99 A99 P97 Z97 B98 C99
6 6 0 P.....P...O.PAA.O.ZZ..O.BB.CC....... O99 A99 P97 Z96 B98 C99
6 6 0 P.....P...O.PAA.O...ZZO.BBCC........ O99 A99 P97 Z98 B98 C98
6 6 0 P.....P.....PAA.O...ZZO.BBCCO....... O98 A99 P97 Z98 B98 C98
6 6 0 P.....P.....PAA.....ZZO.BBCCO.....O. O97 A99 P97 Z98 B98 C98
6 6 0 P.....P...O.PAA.O..ZZ.O.BBCC........ O99 A99 P97 Z97 B98 C98
6 6 0 P.....P.....PAA.O..ZZ.O.BBCCO....... O98 A99 P97 Z97 B98 C98
6 6 0 P.....P.....PAA....ZZ.O.BBCCO.....O. O97 A99 P97 Z97 B98 C98
6 6 0 P.....P...O.PAA.O.ZZ..O.BBCC........ O99 A99 P97 Z96 B98 C98
6 6 0 P.....P.....PAA.O.ZZ..O.BBCCO....... O98 A99 P97 Z96 B98 C98
6 6 0 P.....P.....PAA...ZZ..O.BBCCO.....O. O97 A99 P97 Z96 B98 C98
6 6 0 ..........O.P.AAO.P.ZZO.PBBCC....... O99 A98 P99 Z98 B99 C99
6 6 0 ..........O.P.AAO.PZZ.O.PBBCC....... O99 A98 P99 Z97 B99 C99
6 6 0 ......P...O.P.AAO.P.ZZO..BBCC....... O99 A98 P98 Z98 B99 C99
6 6 0 ......P...O.P.AAO.PZZ.O..BBCC....... O99 A98 P98 Z97 B99 C99
6 6 0 P.....P...O.P.AAO...ZZO..BBCC....... O99 A98 P97 Z98 B99 C99
6 6 0 P.....P...O.P.AAO..ZZ.O..BBCC....... O99 A98 P97 Z97 B99 C99
6 6 0 P.....P...O.P.AAO.ZZ..O..BBCC....... O99 A98 P97 Z96 B99 C99
6 6 0 ......P...O.P.AAO.P.ZZO.BB.CC....... O99 A98 P98 Z98 B98 C99
6 6 0 ......P...O.P.AAO.PZZ.O.BB.CC....... O99 A98 P98 Z97 B98 C99
6 6 0 ......P...O.P.AAO.P.ZZO.BBCC........ O99 A98 P98 Z98 B98 C98
6 6 0 ......P.....P.AAO.P.ZZO.BBCCO....... O98 A98 P98 Z98 B98 C98
6 6 0 ......P.....P.AA..P.ZZO.BBCCO.....O. O97 A98 P98 Z98 B98 C98
6 6 0 ......P...O.P.AAO.PZZ.O.BBCC........ O99 A98 P98 Z97 B98 C98
6 6 0 ......P.....P.AAO.PZZ.O.BBCCO....... O98 A98 P98 Z97 B98 C98
6 6 0 ......P.....P.AA..PZZ.O.BBCCO.....O. O97 A98 P98 Z97 B98 C98
6 6 0 P.....P...O.P.AAO...ZZO.BB.CC....... O99 A98 P97 Z98 B98 C99
6 6 0 P.....P...O.P.AAO..ZZ.O.BB.CC....... O99 A98 P97 Z97 B98 C99
6 6 0 P.....P...O.P.AAO.ZZ..O.BB.CC....... O99 A98 P97 Z96 B98 C99
6 6 0 P.....P...O.P.AAO...ZZO.BBCC........ O99 A98 P97 Z98 B98 C98
6 6 0 P.....P.....P.AAO...ZZO.BBCCO....... O98 A98 P97 Z98 B98 C98
6 6 0 P.....P.....P.AA....ZZO.BBCCO.....O. O97 A98 P97 Z98 B98 C98
6 6 0 P.....P...O.P.AAO..ZZ.O.BBCC........ O99 A98 P97 Z97 B98 C98
6 6 0 P.....P.....P.AAO..ZZ.O.BBCCO....... O98 A98 P97 Z97 B98 C98
6 6 0 P.....P.....P.AA...ZZ.O.BBCCO.....O. O97 A98 P97 Z97 B98 C98
6 6 0 P.....P...O.P.AAO.ZZ..O.BBCC........ O99 A98 P97 Z96 B98 C98
6 6 0 P.....P.....P.AAO.ZZ..O.BBCCO....... O98 A98 P97 Z96 B98 C98
6 6 0 P.....P.....P.AA..ZZ..O.BBCCO.....O. O97 A98 P97 Z96 B98 C98
7 7 0 ......P.....P..AA.P.ZZO.BBCCO.....O. O97 A97 P98 Z98 B98 C98
7 7 0 ......P.....P...AAP.ZZO.BBCCO.....O. O97 A96 P98 Z98 B98 C98
